QUERY_ID,TOTAL_ELAPSED_TIME,COMPILATION_TIME,EXECUTION_TIME,ROWS_PRODUCED,WAREHOUSE_NAME,QUERY_TEXT,UDF
01a7e894-0001-82b4-0000-0004f187353d,152142,194,20468,10000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000000,calc_fac_vectorized
01a7e894-0001-82b4-0000-0004f1873539,131718,179,8774,1000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000,calc_fac_vectorized
01a7e894-0001-82b4-0000-0004f1873535,128185,176,1138,10000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000,calc_fac_vectorized
01a7e894-0001-82b4-0000-0004f187352d,129180,194,2213,100,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100,calc_fac_vectorized
01a7e894-0001-82b4-0000-0004f1873529,204438,200,76080,10000000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000000,calc_fac_simple
01a7e894-0001-82b4-0000-0004f1873525,128382,198,11607,1000000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000,calc_fac_simple
01a7e894-0001-82b4-0000-0004f1873521,116833,228,874,10000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000,calc_fac_simple
01a7e894-0001-82ae-0000-0004f1874495,122220,134,1127,100,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100,calc_fac_simple
01a7e894-0001-82ae-0000-0004f187448d,222594,182,114029,10000000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_vectorized
01a7e894-0001-82ae-0000-0004f1874489,125308,181,16653,1000000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_vectorized
01a7e894-0001-82ae-0000-0004f1874485,112789,192,2226,10000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000,add_rows_vectorized
01a7e894-0001-82ae-0000-0004f1874481,112644,192,1543,100,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100,add_rows_vectorized
01a7e894-0001-82b4-0000-0004f1873509,189253,200,76100,10000000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_simple
01a7e893-0001-82ae-0000-0004f187447d,118427,161,9412,1000000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple
01a7e893-0001-82b4-0000-0004f18734fd,109054,140,1099,10000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple
01a7e893-0001-82b4-0000-0004f18734f9,108006,178,1373,100,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple
01a7e893-0001-82ae-0000-0004f1874479,220820,168,116949,10000000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_simple_with_pandas
01a7e893-0001-82b4-0000-0004f18734f5,117564,168,26420,1000000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple_with_pandas
01a7e893-0001-82ae-0000-0004f1874475,91179,174,4222,10000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple_with_pandas
01a7e893-0001-82ae-0000-0004f1874471,86998,169,1100,100,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple_with_pandas
01a7e893-0001-82b4-0000-0004f18734f1,481905,158,78776,10000000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000000,calc_fac_vectorized
01a7e893-0001-82b4-0000-0004f18734ed,405314,189,15834,1000000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000,calc_fac_vectorized
01a7e893-0001-82b4-0000-0004f18734e5,402732,165,2884,10000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000,calc_fac_vectorized
01a7e893-0001-82b4-0000-0004f18734dd,401952,205,2849,100,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100,calc_fac_vectorized
01a7e893-0001-82b4-0000-0004f18734d1,477701,234,84565,10000000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000000,calc_fac_simple
01a7e893-0001-82ae-0000-0004f1874455,405412,188,10310,1000000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000,calc_fac_simple
01a7e893-0001-82b4-0000-0004f18734cd,396265,169,2368,10000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000,calc_fac_simple
01a7e893-0001-82ae-0000-0004f1874451,393917,140,2039,100,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100,calc_fac_simple
01a7e893-0001-82ae-0000-0004f187444d,501867,166,139087,10000000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_vectorized
01a7e893-0001-82b4-0000-0004f18734c9,362797,163,16351,1000000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_vectorized
01a7e893-0001-82b4-0000-0004f18734c5,346469,173,2766,10000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000,add_rows_vectorized
01a7e893-0001-82ae-0000-0004f1874449,346815,173,2450,100,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100,add_rows_vectorized
01a7e893-0001-82b4-0000-0004f18734b9,399909,160,75979,10000000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_simple
01a7e893-0001-82b4-0000-0004f18734b5,323951,188,9610,1000000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple
01a7e893-0001-82ae-0000-0004f1874445,314691,225,2250,10000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple
01a7e893-0001-82ae-0000-0004f1874441,312441,169,1923,100,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple
01a7e893-0001-82b4-0000-0004f18734ad,899943,276,613462,10000000,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_simple_with_pandas
01a7e893-0001-82ae-0000-0004f1874439,403309,195,117207,1000000,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple_with_pandas
01a7e893-0001-82b4-0000-0004f18734a9,289565,158,5553,10000,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple_with_pandas
01a7e893-0001-82ae-0000-0004f1874435,284045,163,2738,100,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple_with_pandas
01a7e893-0001-82b4-0000-0004f18734a1,140921,180,23803,10000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000000,calc_fac_vectorized
01a7e893-0001-82ae-0000-0004f187442d,117159,238,9165,1000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000,calc_fac_vectorized
01a7e893-0001-82b4-0000-0004f1873491,114222,175,1706,10000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000,calc_fac_vectorized
01a7e893-0001-82b4-0000-0004f187348d,112570,161,1155,100,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100,calc_fac_vectorized
01a7e893-0001-82b4-0000-0004f1873485,201089,185,84972,10000000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000000,calc_fac_simple
01a7e893-0001-82b4-0000-0004f1873481,119229,183,11417,1000000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000,calc_fac_simple
01a7e893-0001-82b4-0000-0004f187347d,107859,197,1555,10000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000,calc_fac_simple
01a7e893-0001-82ae-0000-0004f187441d,109399,151,1917,100,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100,calc_fac_simple
01a7e893-0001-82b4-0000-0004f1873471,236883,193,135494,10000000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_vectorized
01a7e893-0001-82b4-0000-0004f187346d,110717,163,18000,1000000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_vectorized
01a7e893-0001-82ae-0000-0004f1874419,92754,182,2448,10000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000,add_rows_vectorized
