QUERY_ID,TOTAL_ELAPSED_TIME,COMPILATION_TIME,EXECUTION_TIME,ROWS_PRODUCED,WAREHOUSE_NAME,QUERY_TEXT,UDF
01a7e663-0001-82b4-0000-0004f187328d,637620,174,581257,33836160,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 100000000,add_rows_simple_with_pandas
01a7e663-0001-82ae-0000-0004f1874269,82869,185,28088,1000000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple_with_pandas
01a7e663-0001-82ae-0000-0004f1874265,59719,181,5087,10000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple_with_pandas
01a7e663-0001-82b4-0000-0004f1873289,56488,152,2494,100,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple_with_pandas
01a7e663-0001-82ae-0000-0004f1874261,637916,163,504944,7175040,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 100000000,add_rows_simple_with_pandas
01a7e663-0001-82b4-0000-0004f1873281,221194,180,88731,1000000,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple_with_pandas
01a7e663-0001-82ae-0000-0004f187425d,135372,353,4953,10000,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple_with_pandas
01a7e663-0001-82ae-0000-0004f1874259,133086,215,2852,100,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple_with_pandas
01a7e663-0001-82ae-0000-0004f1874255,638234,162,613805,35163840,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 100000000,add_rows_simple_with_pandas
01a7e663-0001-82b4-0000-0004f1873279,57841,194,34338,1000000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple_with_pandas
01a7e663-0001-82ae-0000-0004f1874251,23540,136,4859,10000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple_with_pandas
01a7e663-0001-82b4-0000-0004f1873275,24573,207,2583,100,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple_with_pandas
01a7e663-0001-82ae-0000-0004f1874249,638530,131,613146,8292480,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 100000000,add_rows_simple_with_pandas
01a7e663-0001-82b4-0000-0004f1873271,137700,181,117258,1000000,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple_with_pandas
